"make_model","price","condition"
Crescendo BC-6000,900.00,New
Crescendo BC-6000,788.00,Pre-Owned
Down4Sound JP13.2,425.00,Pre-Owned
Down4Sound JP23 V1.5,319.53,New
Down4Sound JP23 V1.5,200.00,Pre-Owned
Down4Sound JP23 V2,340.56,New
Down4Sound JP23 V2,102.50,Parts Only
Down4Sound JP23 V2,255.00,Pre-Owned
Down4Sound JP234,288.37,New
Down4Sound JP234,230.00,Pre-Owned
Down4Sound JP34 AB,190.00,New
Down4Sound JP34 AB,214.00,Pre-Owned
Down4Sound JP43,600.00,New
Down4Sound JP43,580.00,Pre-Owned
Down4Sound JP63,650.00,Pre-Owned
Down4Sound JP83,1470.81,New
Down4Sound JP84,100.00,Pre-Owned
JL Audio 1000/1,142.75,Parts Only
JL Audio 1000/1,421.86,Pre-Owned
JL Audio 300/4,79.74,Parts Only
JL Audio 300/4,231.50,Pre-Owned
JL Audio 450/4,355.00,Pre-Owned
JL Audio 500/1,102.05,Parts Only
JL Audio 500/1,217.00,Pre-Owned
JL Audio 500/5,162.50,Parts Only
JL Audio 500/5,269.35,Pre-Owned
Kicker ZR1000,277.20,Pre-Owned
Kicker ZR600,99.00,Parts Only
Kicker ZR600,200.00,Pre-Owned
Kicker ZX1000,70.60,Parts Only
Kicker ZX1000,175.81,Pre-Owned
Kicker ZX1500,247.68,Pre-Owned
Kicker ZX750,45.00,Parts Only
Kicker ZX750,138.23,Pre-Owned
MTX 1501D,250.00,Pre-Owned
MTX 7801,204.70,Pre-Owned
MTX 81001,180.00,Parts Only
MTX 81001,283.33,Pre-Owned
MTX TE1501D,233.80,Pre-Owned
Orion HCCA5000,628.83,Pre-Owned
Orion HCCA5000SPLX,350.00,Parts Only
Orion HCCA5000SPLX,582.00,Pre-Owned
Orion HCCA8000,843.00,Pre-Owned
Rockford Fosgate Prime 1200,266.67,New
Rockford Fosgate Prime 1200,173.30,Pre-Owned
Rockford Fosgate T1000-1BDCP,459.00,New
Rockford Fosgate T1000-1BDCP,291.92,Pre-Owned
Rockford Fosgate T1500-1BDCP,150.00,Parts Only
Rockford Fosgate T1500-1BDCP,428.21,Pre-Owned
Rockford Fosgate T2500-1BDCP,637.50,New
Rockford Fosgate T2500-1BDCP,832.65,Pre-Owned
Soundigital 1000.1 EVOX2,349.99,Pre-Owned
Soundigital 1200.4 EVOX2,499.00,New
Soundigital 1200.4 EVOX2,513.44,Pre-Owned
Soundigital 1600.1 EVOX2,399.99,New
Soundigital 1600.1 EVOX2,362.49,Pre-Owned
Soundigital 2000.4 EVO 5,398.00,New
Soundigital 3000.1 EVOX2,549.99,New
Soundigital 3000.1 EVOX2,529.16,Pre-Owned
Soundigital 5000.1 EVO,551.80,New
Soundigital 5000.1 EVO 5,276.57,New
Soundigital 800.4 EVOX2,346.64,New
Soundigital 800.4 EVOX2,355.83,Pre-Owned
Sundown Audio SFB-1000,169.00,New
Sundown Audio SFB-1000,115.25,Pre-Owned
Sundown Audio SFB-1500,60.00,Parts Only
Sundown Audio SFB-1500,205.00,Pre-Owned
Sundown Audio SFB-1800.5,350.00,New
Sundown Audio SFB-1800.5,105.50,Parts Only
Sundown Audio SFB-3000,300.00,New
Sundown Audio SFB-3000,125.00,Parts Only
Sundown Audio SFB-3000,241.66,Pre-Owned
Sundown Audio SFB-5000,415.00,New
Sundown Audio SFB-5000,234.99,Parts Only
Sundown Audio SFB-5000,362.50,Pre-Owned
Sundown Audio SFB-8000,137.50,Parts Only
Sundown Audio SFB-8000,590.00,Pre-Owned
Taramps Bass 3K,219.99,New
Taramps Bass 3K,203.75,Pre-Owned
Taramps Bass 5K,368.00,New
Taramps Bass 5K,365.66,Pre-Owned
Taramps HD 3000,175.52,New
Taramps HD 3000,123.33,Parts Only
Taramps HD 3000,153.55,Pre-Owned
Taramps HD 5000,218.00,Pre-Owned
Taramps HD 8000,303.40,Pre-Owned
Taramps MD 3000,204.18,New
Taramps MD 5000,292.58,New
Taramps MD 5000,269.75,Pre-Owned
Taramps MD 8000,374.48,New
Taramps MD 8000,229.00,Parts Only
Taramps MD 8000,357.02,Pre-Owned
Taramps Smart3,227.91,New
Taramps Smart3,216.67,Pre-Owned
Taramps Smart5,448.30,New
Taramps Smart5,213.62,Parts Only
Taramps Smart5,343.33,Pre-Owned
Taramps Smart8,487.49,New
Taramps Smart8,299.99,Parts Only
Xtant 1001,51.00,Parts Only
Xtant 1001,533.00,Pre-Owned
